symbol,exchange,company_name,isin,face_value,status,group,instrument,listing_date,market_lot,paid_up_value,security_code
SURFI,BSE,Suryo Foods & Industries Ltd.,INE565E01016,10.00,Active,XT,Equity,,,,519604
INTEGFD,BSE,Integrated Proteins Ltd.,INE177M01013,10.00,Active,XT,Equity,,,,519606
LILACFD,BSE,Lilac Exports Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,519608
SUNCITY,BSE,Suncity Industries Ltd,NA          ,10.00,Delisted,P ,Equity,,,,519610
LAKESHORE,BSE,LAKE SHORE REALTY LIMITED,INE734D01010,10.00,Active,XT,Equity,,,,519612
VYVRAUT,BSE,Vybra Automet Ltd.,INE251F01010,10.00,Delisted,Z ,Equity,,,,520003
RICOAUTO,BSE,RICO Auto Industries Ltd.,INE209B01025,1.00,Active,B ,Equity,,,,520008
OMAXAUTO,BSE,Omax Autos Ltd.,INE090B01011,10.00,Active,B ,Equity,,,,520021
DENSO,BSE,Denso India Ltd,INE502A01017,10.00,Delisted,B ,Equity,,,,520022
MANSAROVARP,BSE,Mansarover Paper & Industries Ltd,NA          ,10.00,Delisted,Z ,Equity,,,,520024
HELLAIND,BSE,Hella India Lighting Ltd,INE431D01013,10.00,Delisted,B ,Equity,,,,520026
MUNJALSHOW,BSE,Munjal Showa Ltd.,INE577A01027,2.00,Active,B ,Equity,,,,520043
JAMNAAUTO,BSE,Jamna Auto Industries Ltd.,INE039C01032,1.00,Active,B ,Equity,,,,520051
TVSHLTD,BSE,TVS Holdings Limited,INE105A01035,5.00,Active,A ,Equity,,,,520056
JTEKTINDIA,BSE,JTEKT India Limited,INE643A01035,1.00,Active,B ,Equity,,,,520057
MUNJALAU,BSE,Munjal Auto Industries Ltd.,INE672B01032,2.00,Active,B ,Equity,,,,520059
LAKSHMIAUTO,BSE,"Lakshmi Auto Components Ltd.,",INE871A01016,10.00,Delisted,B ,Equity,,,,520061
GKNDRDM,BSE,GKN Driveshafts (India) Ltd,INE527A01014,10.00,Delisted,B ,Equity,,,,520064
JAYBARMARU,BSE,Jay Bharat Maruti Ltd.,INE571B01036,2.00,Active,B ,Equity,,,,520066
RENZTLB-B,BSE,Reinz Talbros Ltd,NA          ,10.00,Delisted,P ,Equity,,,,520067
NATAUTO,BSE,National Auto Accessories Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,520069
JAPSP,BSE,Jai Parabolic Springs Ltd.,INE686B01016,10.00,Delisted,T ,Equity,,,,520071
RACLGEAR,BSE,RACL Geartech Limited,INE704B01017,10.00,Active,B ,Equity,,,,520073
SAMKRG,BSE,Samkrg Pistons and Rings Ltd.,INE706B01012,10.00,Active,X ,Equity,,,,520075
AMTEKAUTO,BSE,Amtek Auto Ltd,INE130C01021,2.00,Delisted,Z ,Equity,,,,520077
INDIASTE,BSE,India Steamship Co. Ltd.,INE288C01019,10.00,Delisted,B ,Equity,,,,520079
SICA,BSE,-,-,-,Delisted,Z ,Equity,,,,520080
ECSTSTL,BSE,East Coast Steel Ltd,INE315F01013,10.00,Active,P ,Equity,,,,520081
SICALLOG,BSE,Sical Logistics Limited,INE075B01020,10.00,Active,T ,Equity,,,,520086
SIPNAUT,BSE,"Sipani Automobiles Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,520090
ATOTNSN,BSE,Auto Tension Limited,NA          ,10.00,Delisted,P ,Equity,,,,520096
TVSAUTOL,BSE,TVS Autolec Ltd.,INE134C01015,10.00,Delisted,B ,Equity,,,,520101
ZBAJAJTR,BSE,Force Motors Limited,NA          ,10.00,Delisted,Z ,Equity,,,,520109
